Reading frame
Pixel[0] has values (201, 68, 161)
Checking all values in frame are initialized
Data array is size 2
Pixel[0, 186] has vals L = 134, A = 120, B = 117
Pixel[0, 187] has vals L = 134, A = 120, B = 117
Pixel[0, 188] has vals L = 134, A = 119, B = 117
Pixel[0, 189] has vals L = 134, A = 118, B = 117
Pixel[0, 190] has vals L = 134, A = 118, B = 117
Pixel[0, 191] has vals L = 134, A = 118, B = 117
Pixel[0, 192] has vals L = 134, A = 118, B = 117
Pixel[0, 193] has vals L = 134, A = 118, B = 117
Pixel[0, 194] has vals L = 134, A = 118, B = 117
Pixel[0, 195] has vals L = 134, A = 118, B = 117
Pixel[0, 196] has vals L = 134, A = 118, B = 117
Pixel[0, 197] has vals L = 134, A = 114, B = 116
Pixel[0, 198] has vals L = 134, A = 114, B = 116
Pixel[0, 199] has vals L = 134, A = 114, B = 116
Pixel[0, 200] has vals L = 134, A = 114, B = 116
Pixel[0, 201] has vals L = 134, A = 114, B = 117
Pixel[0, 202] has vals L = 134, A = 114, B = 117
Pixel[0, 203] has vals L = 134, A = 114, B = 118
Pixel[0, 204] has vals L = 134, A = 114, B = 118
Pixel[0, 205] has vals L = 134, A = 117, B = 119
Pixel[0, 206] has vals L = 134, A = 117, B = 119
Pixel[0, 207] has vals L = 134, A = 117, B = 120
Pixel[0, 208] has vals L = 134, A = 117, B = 120
Pixel[0, 209] has vals L = 134, A = 117, B = 121
Pixel[0, 210] has vals L = 134, A = 117, B = 121
Pixel[0, 211] has vals L = 134, A = 117, B = 121
Pixel[0, 212] has vals L = 134, A = 117, B = 120
Pixel[0, 213] has vals L = 134, A = 117, B = 120
Pixel[0, 214] has vals L = 134, A = 117, B = 119
Pixel[0, 215] has vals L = 134, A = 117, B = 119
Pixel[0, 216] has vals L = 134, A = 117, B = 119
Pixel[0, 217] has vals L = 134, A = 117, B = 118
Pixel[0, 218] has vals L = 134, A = 117, B = 118
Pixel[0, 219] has vals L = 134, A = 117, B = 117
Pixel[0, 220] has vals L = 134, A = 117, B = 117
Pixel[0, 221] has vals L = 134, A = 116, B = 116
Pixel[0, 222] has vals L = 134, A = 116, B = 116
Pixel[0, 223] has vals L = 134, A = 116, B = 115
Pixel[0, 224] has vals L = 134, A = 116, B = 115
Pixel[0, 225] has vals L = 134, A = 116, B = 115
Pixel[0, 226] has vals L = 134, A = 116, B = 115
Pixel[0, 227] has vals L = 134, A = 116, B = 114
Pixel[0, 228] has vals L = 134, A = 116, B = 114
Pixel[0, 229] has vals L = 134, A = 116, B = 113
Pixel[0, 230] has vals L = 135, A = 116, B = 113
Pixel[0, 231] has vals L = 135, A = 116, B = 113
Pixel[0, 232] has vals L = 135, A = 116, B = 113
Pixel[0, 233] has vals L = 135, A = 116, B = 113
Pixel[0, 234] has vals L = 135, A = 116, B = 113
Pixel[0, 235] has vals L = 135, A = 116, B = 113
Pixel[0, 236] has vals L = 135, A = 116, B = 113
Pixel[0, 237] has vals L = 135, A = 118, B = 113
Pixel[0, 238] has vals L = 135, A = 118, B = 113
Pixel[0, 239] has vals L = 135, A = 118, B = 113
Pixel[0, 240] has vals L = 135, A = 118, B = 113
Pixel[0, 241] has vals L = 135, A = 118, B = 113
Pixel[0, 242] has vals L = 135, A = 118, B = 113
Pixel[0, 243] has vals L = 135, A = 118, B = 113
Pixel[0, 244] has vals L = 135, A = 118, B = 114
Pixel[0, 245] has vals L = 137, A = 117, B = 115
Pixel[0, 246] has vals L = 140, A = 117, B = 116
Pixel[0, 247] has vals L = 142, A = 117, B = 116
Pixel[0, 248] has vals L = 142, A = 117, B = 116
Pixel[0, 249] has vals L = 142, A = 117, B = 116
Pixel[0, 250] has vals L = 142, A = 117, B = 116
Pixel[0, 251] has vals L = 142, A = 117, B = 116
Pixel[0, 252] has vals L = 142, A = 117, B = 116
Pixel[0, 253] has vals L = 142, A = 117, B = 116
Pixel[0, 254] has vals L = 142, A = 117, B = 116
Pixel[0, 255] has vals L = 142, A = 117, B = 116
Pixel[0, 256] has vals L = 142, A = 117, B = 116
Pixel[0, 257] has vals L = 142, A = 117, B = 116
Pixel[0, 258] has vals L = 142, A = 117, B = 116
Pixel[0, 259] has vals L = 142, A = 117, B = 116
Pixel[0, 260] has vals L = 142, A = 117, B = 116
Pixel[0, 261] has vals L = 140, A = 117, B = 116
Pixel[0, 262] has vals L = 138, A = 117, B = 116
Pixel[0, 263] has vals L = 136, A = 117, B = 116
Pixel[0, 264] has vals L = 136, A = 117, B = 116
Pixel[0, 265] has vals L = 136, A = 117, B = 116
Pixel[0, 266] has vals L = 136, A = 117, B = 116
Pixel[0, 267] has vals L = 136, A = 117, B = 116
Pixel[0, 268] has vals L = 136, A = 117, B = 116
Pixel[0, 269] has vals L = 136, A = 118, B = 116
Pixel[0, 270] has vals L = 136, A = 118, B = 116
Pixel[0, 271] has vals L = 136, A = 118, B = 116
Pixel[0, 272] has vals L = 136, A = 119, B = 116
Pixel[0, 273] has vals L = 136, A = 119, B = 116
Pixel[0, 274] has vals L = 136, A = 120, B = 116
Pixel[0, 275] has vals L = 136, A = 120, B = 116
Pixel[0, 276] has vals L = 136, A = 120, B = 116
Pixel[0, 277] has vals L = 136, A = 119, B = 115
Pixel[0, 278] has vals L = 136, A = 119, B = 115
Pixel[0, 279] has vals L = 136, A = 119, B = 115
